X	Y	Z	A	B	Unranged	r_gyration
0.50625	1.83938	0.455625	0	12	0	0.651384
0.81	0.3375	0.4725	0	3	0	0.357176
7.6275	6.6825	7.29	0	3	0	0.344184
1.23429	1.215	1.54286	0	21	0	0.82287
7.3305	6.1155	6.48	0	5	0	0.420888
2.0925	0.27	0.2025	0	3	0	0.27
1.215	2.12625	0.10125	0	2	0	0.143189
0.4725	0.27	2.3625	0	3	0	0.369713
0.2025	0.81	2.9025	0	3	0	0.301869
0.10125	0.10125	3.4425	0	2	0	0.143189
0.2025	1.62	2.43	0	2	0	0.2025
0.2025	1.92375	3.13875	0	2	0	0.248011
6.615	7.695	7.56	0	3	0	0.27
1.89844	0.392344	3.63234	0	16	0	0.831276
1.92375	0.10125	2.025	0	2	0	0.143189
6.63188	6.78375	6.32813	0	4	0	0.385549
0.936563	1.4175	3.87281	0	8	0	0.53934
7.155	7.4925	4.9275	0	3	0	0.27
7.8975	5.77125	7.39125	0	2	0	0.143189
7.695	5.36625	6.78375	0	2	0	0.248011
0.081	3.321	2.349	0	5	0	0.40093
7.02	5.13	7.695	0	3	0	0.316603
2.2275	1.89844	0.885938	0	24	0	1.17878
6.58125	4.35375	7.29	0	2	0	0.143189
0.685385	4.40827	1.35519	0	13	0	0.758006
1.10507	2.91021	3.402	0	35	0	1.03508
1.44281	3.08812	2.30344	0	8	0	0.591468
6.075	5.265	6.6825	0	2	0	0.2025
7.83	5.6025	4.9275	0	3	0	0.165341
7.7355	4.6575	5.589	0	5	0	0.362243
6.58125	6.20156	5.59406	0	8	0	0.403415
6.6825	4.725	4.6575	0	3	0	0.344184
3.24	0.81	2.475	0	9	0	0.617009
3.645	0.10125	0.81	0	4	0	0.335808
3.59438	0.91125	1.26562	0	4	0	0.458429
5.8725	7.59375	7.39125	0	2	0	0.143189
5.11313	7.29	7.44188	0	4	0	0.237452
2.73375	0.2025	2.93625	0	2	0	0.248011
2.025	0.70875	2.73375	0	2	0	0.143189
4.61348	0.519457	2.4388	0	23	0	0.952173
3.402	1.4985	3.9285	0	5	0	0.353071
5.913	6.48	7.614	0	5	0	0.362243
2.37214	3.00857	0.520714	0	7	0	0.507694
5.20714	7.78179	4.88893	0	7	0	0.582895
4.15125	6.17625	4.6575	0	2	0	0.143189
5.01188	5.41688	6.48	0	8	0	0.53096
3.645	3.0375	0.81	0	2	0	0.2025
4.79605	2.90961	0.863289	0	19	0	0.908238
4.15125	4.01625	0.6075	0	6	0	0.372781
3.7125	3.78	1.5525	0	3	0	0.233827
2.025	1.62	2.6325	0	2	0	0.2025
6.075	5.16375	4.15125	0	2	0	0.248011
5.67	4.2525	4.9275	0	3	0	0.190919
4.55625	5.56875	5.8725	0	2	0	0.143189
6.0507	5.589	5.0787	0	25	0	0.960525
4.26029	3.19327	3.65279	0	52	0	1.22118
4.35375	4.86	5.77125	0	2	0	0.143189
3.21107	4.2525	2.60357	0	7	0	0.283441
3.645	3.13875	2.2275	0	4	0	0.365062
7.79625	6.885	2.53125	0	2	0	0.143189
0.665357	0.520714	4.77321	0	7	0	0.625821
0.3375	1.1475	5.265	0	3	0	0.27
7.6275	6.9525	0.27	0	3	0	0.330681
7.2225	6.615	1.9575	0	3	0	0.286379
1.72125	0.50625	5.0625	0	2	0	0.143189
1.92375	0.10125	5.67	0	2	0	0.248011
6.6825	7.695	2.12625	0	4	0	0.365062
2.12625	0.91125	4.455	0	2	0	0.248011
1.485	2.025	4.86	0	3	0	0.190919
2.12625	1.51875	5.4675	0	2	0	0.143189
0.4725	0.97875	7.05375	0	12	0	0.566759
0.91125	0.10125	7.695	0	2	0	0.248011
6.37875	6.78375	1.8225	0	2	0	0.143189
6.4125	5.535	3.8475	0	3	0	0.27
2.27813	0.860625	6.48	0	4	0	0.343356
1.9575	0.405	7.6275	0	3	0	0.316603
7.8975	5.0625	0.6075	0	2	0	0.2025
7.39125	4.55625	0	0	2	0	0.143189
6.56567	7.34452	3.97212	0	26	0	1.05343
5.56875	6.2775	1.92375	0	2	0	0.248011
1.4175	2.04525	7.02675	0	10	0	0.786889
0.30375	2.53125	4.75875	0	4	0	0.335808
0.30375	3.61125	4.995	0	6	0	0.479678
5.265	7.79625	0.2025	0	4	0	0.30375
1.1475	3.0375	4.725	0	3	0	0.213454
4.96125	6.58125	1.0125	0	2	0	0.143189
2.0925	2.9025	4.995	0	3	0	0.233827
5.73	6.7275	0.6675	0	27	0	1.25553
1.755	3.915	5.4	0	6	0	0.387758
0.2025	2.12625	5.97375	0	2	0	0.248011
0.2025	3.94875	6.075	0	4	0	0.365062
0.30375	2.73375	6.6825	0	2	0	0.248011
5.265	4.05	2.6325	0	2	0	0.2025
1.35	3.915	7.56	0	3	0	0.286378
2.07562	2.48062	6.17625	0	4	0	0.357973
2.12625	2.43	7.79625	0	2	0	0.143189
2.12625	4.05	6.17625	0	2	0	0.248011
6.17625	5.4675	1.72125	0	2	0	0.248011
2.43	3.08812	7.74563	0	4	0	0.372016
5.63625	5.7375	0.30375	0	6	0	0.570765
4.05	5.265	1.4175	0	2	0	0.2025
2.68312	1.92375	4.91063	0	4	0	0.411279
2.93625	1.51875	5.8725	0	2	0	0.248011
4.06558	0.794423	4.64192	0	13	0	0.647146
5.13	4.725	1.62	0	3	0	0.27
4.15125	4.15125	1.8225	0	2	0	0.143189
4.10063	0.835312	6.30281	0	8	0	0.629259
3.53455	2.65091	6.14864	0	11	0	0.65242
5.99906	4.50563	1.84781	0	8	0	0.616919
3.0375	0.43875	6.31125	0	6	0	0.434838
5.4	4.87687	0.658125	0	12	0	0.634554
7.39125	3.94875	7.8975	0	2	0	0.143189
7.39125	3.24	7.39125	0	2	0	0.248011
6.345	2.7675	6.6825	0	3	0	0.27
7.79625	3.13875	4.2525	0	2	0	0.143189
7.72393	2.57464	5.55429	0	7	0	0.572757
6.98625	3.24	4.75875	0	2	0	0.248011
3.3075	2.295	7.2225	0	3	0	0.330681
6.17625	3.24	4.35375	0	2	0	0.248011
6.885	2.2275	4.35375	0	4	0	0.39214
3.00375	3.0375	4.96125	0	6	0	0.455312
3.13875	3.8475	4.55625	0	2	0	0.143189
2.7675	3.9825	5.535	0	3	0	0.330681
3.94875	2.73375	4.05	0	2	0	0.143189
3.915	3.105	6.075	0	3	0	0.393589
2.97	3.24	7.155	0	3	0	0.27
2.9025	3.47625	6.24375	0	6	0	0.396473
7.79625	1.4175	7.39125	0	2	0	0.143189
2.43	4.05	4.6575	0	2	0	0.2025
7.8975	0.91125	6.58125	0	2	0	0.143189
7.59375	0.70875	7.29	0	2	0	0.143189
1.215	5.13	0.135	0	3	0	0.27
6.966	1.9035	7.4925	0	5	0	0.40903
6.885	0.2025	7.29	0	2	0	0.2025
6.48	0.81	7.8975	0	2	0	0.2025
0.81	5.97375	2.00475	0	10	0	0.563372
1.4175	6.04125	1.31625	0	6	0	0.562725
